node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
HYOU1,SIL1,9606.ENSP00000480150,9606.ENSP00000378294,0,0,0,0,230,386,800,906,989
HYOU1,PPT1,9606.ENSP00000480150,9606.ENSP00000394863,0,0,0,0,62,64,0,372,400
HYOU1,VPS11,9606.ENSP00000480150,9606.ENSP00000481126,0,0,0,0,61,0,0,471,482
IMPDH2,NOL10,9606.ENSP00000321584,9606.ENSP00000371101,0,0,0,0,408,0,0,0,408
IMPDH2,PUSL1,9606.ENSP00000321584,9606.ENSP00000368318,0,0,0,0,177,723,0,140,787
ITGB1,PRKAR2A,9606.ENSP00000379350,9606.ENSP00000265563,0,0,0,0,64,127,900,0,911
ITGB1,SLC3A2,9606.ENSP00000379350,9606.ENSP00000367123,0,0,0,0,62,379,0,242,520
ITGB1,RHOA,9606.ENSP00000379350,9606.ENSP00000400175,0,0,0,0,89,69,900,407,943
KDELC1,POFUT1,9606.ENSP00000365172,9606.ENSP00000364902,0,0,0,0,102,185,0,253,405
KDELC2,POFUT1,9606.ENSP00000315386,9606.ENSP00000364902,0,0,0,0,103,185,0,245,400
LARP4B,LARP7,9606.ENSP00000482767,9606.ENSP00000422626,0,0,0,0,124,0,0,449,497
LARP4B,RPL36,9606.ENSP00000482767,9606.ENSP00000464342,0,0,0,0,69,0,900,0,902
LARP7,ZC3H18,9606.ENSP00000422626,9606.ENSP00000416951,0,0,0,0,425,0,0,0,424
LMAN2,RAB1A,9606.ENSP00000303366,9606.ENSP00000387286,0,0,0,0,85,0,900,303,930
LOX,PLOD2,9606.ENSP00000231004,9606.ENSP00000282903,0,0,0,0,229,0,0,575,658
MAT2B,SIGMAR1,9606.ENSP00000325425,9606.ENSP00000277010,0,0,0,0,64,363,0,320,559
MAT2B,TOMM70A,9606.ENSP00000325425,9606.ENSP00000284320,0,0,0,0,60,0,900,0,901
MDN1,RBM28,9606.ENSP00000358400,9606.ENSP00000223073,0,0,0,0,207,284,0,158,480
MDN1,MPHOSPH10,9606.ENSP00000358400,9606.ENSP00000244230,0,0,0,0,222,0,0,303,435
MDN1,RPL36,9606.ENSP00000358400,9606.ENSP00000464342,0,0,0,0,62,414,0,46,429
MFGE8,WFS1,9606.ENSP00000268150,9606.ENSP00000226760,0,0,0,0,69,0,900,0,902
MFGE8,STC2,9606.ENSP00000268150,9606.ENSP00000265087,0,0,0,0,88,0,900,41,904
MFGE8,P4HB,9606.ENSP00000268150,9606.ENSP00000327801,0,0,0,0,61,0,900,86,906
MIB1,TBK1,9606.ENSP00000261537,9606.ENSP00000329967,0,0,0,0,0,569,0,67,581
MIB1,PRKAR2A,9606.ENSP00000261537,9606.ENSP00000265563,0,0,0,0,99,554,0,54,586
MPHOSPH10,UBOX5,9606.ENSP00000244230,9606.ENSP00000217173,0,0,0,0,63,0,0,445,457
MPHOSPH10,RBM28,9606.ENSP00000244230,9606.ENSP00000223073,0,0,0,0,902,0,900,0,989
MPHOSPH10,RRP9,9606.ENSP00000244230,9606.ENSP00000232888,0,0,0,0,857,798,900,798,999
MPHOSPH10,TRMT1,9606.ENSP00000244230,9606.ENSP00000466967,0,0,0,0,468,0,0,0,468
MPHOSPH10,NGDN,9606.ENSP00000244230,9606.ENSP00000386134,0,0,0,0,853,651,540,97,975
MPHOSPH10,NOL10,9606.ENSP00000244230,9606.ENSP00000371101,0,0,0,0,889,960,0,221,996
MRPS25,MRPS27,9606.ENSP00000253686,9606.ENSP00000426941,0,0,0,0,88,870,900,125,988
MRPS25,MRPS5,9606.ENSP00000253686,9606.ENSP00000272418,0,0,0,0,139,960,900,0,996
MRPS27,UBOX5,9606.ENSP00000426941,9606.ENSP00000217173,0,0,0,0,0,0,0,722,722
MRPS27,MRPS5,9606.ENSP00000426941,9606.ENSP00000272418,0,0,0,0,107,836,900,311,988
MRPS27,TBCA,9606.ENSP00000426941,9606.ENSP00000306362,0,0,0,0,64,0,0,397,412
MRPS5,SRP19,9606.ENSP00000272418,9606.ENSP00000424870,0,0,0,0,79,407,0,0,430
MRPS5,TARS2,9606.ENSP00000272418,9606.ENSP00000358060,0,0,0,0,233,370,0,121,538
MRPS5,SIL1,9606.ENSP00000272418,9606.ENSP00000378294,93,0,0,0,357,381,0,167,659
MRPS5,RPL36,9606.ENSP00000272418,9606.ENSP00000464342,0,0,0,0,552,709,0,223,890
MTCH1,UBXN8,9606.ENSP00000362730,9606.ENSP00000479216,0,0,0,0,0,0,0,502,502
NDUFAF1,NDUFB9,9606.ENSP00000260361,9606.ENSP00000276689,0,0,0,0,178,0,900,408,947
NDUFAF1,NDUFAF2,9606.ENSP00000260361,9606.ENSP00000296597,0,0,0,0,69,0,900,732,972
NDUFAF2,NDUFB9,9606.ENSP00000296597,9606.ENSP00000276689,0,0,0,0,154,0,900,288,934
NDUFB9,STOML2,9606.ENSP00000276689,9606.ENSP00000348886,0,0,0,0,204,0,0,281,404
NEK9,NUP88,9606.ENSP00000238616,9606.ENSP00000458954,0,0,0,0,0,0,900,50,900
NEK9,NUP210,9606.ENSP00000238616,9606.ENSP00000254508,0,0,0,0,63,0,900,0,902
NEK9,NUP54,9606.ENSP00000238616,9606.ENSP00000264883,0,0,0,0,64,50,900,102,909
NGDN,RBM28,9606.ENSP00000386134,9606.ENSP00000223073,0,0,0,0,903,0,0,0,903
NGDN,RRP9,9606.ENSP00000386134,9606.ENSP00000232888,0,0,0,0,912,651,540,609,993
NGDN,SCARB1,9606.ENSP00000386134,9606.ENSP00000261693,0,0,0,0,45,0,0,526,527
NGDN,NOL10,9606.ENSP00000386134,9606.ENSP00000371101,0,0,0,0,897,927,0,677,997
NGDN,TRMT1,9606.ENSP00000386134,9606.ENSP00000466967,0,0,0,0,536,64,0,0,547
NGLY1,UBOX5,9606.ENSP00000280700,9606.ENSP00000217173,0,0,0,0,62,0,0,411,423
NLRX1,TBK1,9606.ENSP00000387334,9606.ENSP00000329967,0,0,0,0,0,50,0,523,527
NOL10,RBM28,9606.ENSP00000371101,9606.ENSP00000223073,0,0,0,0,899,0,0,0,899
NOL10,RRP9,9606.ENSP00000371101,9606.ENSP00000232888,0,0,0,0,897,651,0,315,973
NOL10,TRMT1,9606.ENSP00000371101,9606.ENSP00000466967,0,0,0,0,744,0,0,0,744
NPC2,SCAP,9606.ENSP00000451112,9606.ENSP00000265565,0,0,0,0,63,0,0,484,496
NPTX1,TOR1A,9606.ENSP00000307549,9606.ENSP00000345719,0,0,0,0,0,0,0,400,400
NPTX1,PIGO,9606.ENSP00000307549,9606.ENSP00000367880,0,0,0,0,0,0,0,515,515
NUP210,NUTF2,9606.ENSP00000254508,9606.ENSP00000219169,0,0,0,0,48,0,900,302,927
NUP210,REEP5,9606.ENSP00000254508,9606.ENSP00000368959,0,0,0,0,60,0,0,497,507
NUP210,NUP88,9606.ENSP00000254508,9606.ENSP00000458954,0,0,0,0,114,0,900,692,970
NUP210,NUP54,9606.ENSP00000254508,9606.ENSP00000264883,0,0,0,0,67,0,900,772,976
NUP54,NUTF2,9606.ENSP00000264883,9606.ENSP00000219169,0,0,0,0,97,376,360,825,928
NUP54,SNIP1,9606.ENSP00000264883,9606.ENSP00000296215,0,0,0,0,68,314,0,345,545
NUP54,NUP88,9606.ENSP00000264883,9606.ENSP00000458954,0,0,0,0,224,0,900,811,984
NUP88,NUTF2,9606.ENSP00000458954,9606.ENSP00000219169,0,0,0,0,48,0,0,562,565
NUTF2,RHOA,9606.ENSP00000219169,9606.ENSP00000400175,0,0,0,0,0,410,0,87,438
P4HB,WFS1,9606.ENSP00000327801,9606.ENSP00000226760,0,0,0,0,0,0,900,244,921
P4HB,STC2,9606.ENSP00000327801,9606.ENSP00000265087,0,0,0,0,70,0,900,87,907
P4HB,SIL1,9606.ENSP00000327801,9606.ENSP00000378294,0,0,0,0,165,52,0,320,415
P4HB,SLC3A2,9606.ENSP00000327801,9606.ENSP00000367123,0,0,0,0,90,0,0,469,497
P4HB,RHOA,9606.ENSP00000327801,9606.ENSP00000400175,0,0,0,0,109,78,0,499,553
PITRM1,PMPCB,9606.ENSP00000370377,9606.ENSP00000249269,0,0,0,0,64,368,0,343,578
PITRM1,PMPCA,9606.ENSP00000370377,9606.ENSP00000360782,0,0,0,0,80,158,0,481,563
PKP2,RHOA,9606.ENSP00000070846,9606.ENSP00000400175,0,0,0,0,0,185,0,297,402
PLAT,TYSND1,9606.ENSP00000220809,9606.ENSP00000287078,0,0,0,0,0,0,0,493,493
PLOD2,PPIL3,9606.ENSP00000282903,9606.ENSP00000286175,0,0,0,0,50,0,0,441,446
PLOD2,WHSC1,9606.ENSP00000282903,9606.ENSP00000372351,0,0,0,0,0,0,650,0,650
PMPCA,PMPCB,9606.ENSP00000360782,9606.ENSP00000249269,0,0,427,739,499,993,900,915,999
PMPCA,TIMM10B,9606.ENSP00000360782,9606.ENSP00000254616,0,0,0,0,85,0,0,459,484
PMPCB,STOML2,9606.ENSP00000249269,9606.ENSP00000348886,56,0,0,0,112,84,0,383,463
PMPCB,ZYG11B,9606.ENSP00000249269,9606.ENSP00000294353,0,0,0,0,0,0,0,690,690
POLA1,RRP9,9606.ENSP00000368349,9606.ENSP00000232888,0,0,0,0,82,0,0,376,403
POLA1,TUBGCP3,9606.ENSP00000368349,9606.ENSP00000261965,0,0,0,0,650,0,0,0,650
POLA1,PRIM1,9606.ENSP00000368349,9606.ENSP00000350491,0,0,0,0,886,996,900,920,999
POLA1,WHSC1,9606.ENSP00000368349,9606.ENSP00000372351,0,0,0,0,384,185,0,138,530
POLA1,PRIM2,9606.ENSP00000368349,9606.ENSP00000484105,0,0,0,0,958,996,900,921,999
PPIL3,SNIP1,9606.ENSP00000286175,9606.ENSP00000296215,0,0,0,0,109,261,0,186,417
PPT1,ZDHHC5,9606.ENSP00000394863,9606.ENSP00000287169,0,0,0,0,0,0,0,509,509
PRIM1,PRIM2,9606.ENSP00000350491,9606.ENSP00000484105,295,0,0,0,896,996,900,962,999
PRKAR2A,SLC9A3R1,9606.ENSP00000265563,9606.ENSP00000262613,0,0,0,0,0,52,900,0,901
PRKAR2A,RHOA,9606.ENSP00000265563,9606.ENSP00000400175,0,0,0,0,61,165,900,76,917
PTBP2,UPF1,9606.ENSP00000359216,9606.ENSP00000470142,0,0,0,0,63,0,0,510,522
RAB14,RALA,9606.ENSP00000362946,9606.ENSP00000005257,0,0,434,786,148,0,900,191,921
RAB14,STOM,9606.ENSP00000362946,9606.ENSP00000286713,0,0,0,0,56,82,900,187,920
RAB14,RAB8A,9606.ENSP00000362946,9606.ENSP00000300935,0,0,440,903,93,79,900,781,919
RAB14,RAB18,9606.ENSP00000362946,9606.ENSP00000478479,0,0,421,858,63,0,900,787,917
RAB14,RAB5C,9606.ENSP00000362946,9606.ENSP00000447053,0,0,441,871,189,81,900,582,928
RAB14,RAB1A,9606.ENSP00000362946,9606.ENSP00000387286,0,0,439,915,161,193,900,662,932
RAB18,RAB8A,9606.ENSP00000478479,9606.ENSP00000300935,0,0,431,870,62,138,900,703,924
RAB18,RAB1A,9606.ENSP00000478479,9606.ENSP00000387286,0,0,426,889,192,138,900,661,932
RAB18,RAB5C,9606.ENSP00000478479,9606.ENSP00000447053,0,0,436,814,64,0,900,516,918
RAB1A,TOMM70A,9606.ENSP00000387286,9606.ENSP00000284320,0,0,0,0,79,400,0,78,446
RAB1A,RAB8A,9606.ENSP00000387286,9606.ENSP00000300935,0,0,445,951,146,814,900,794,983
RAB1A,VPS39,9606.ENSP00000387286,9606.ENSP00000335193,0,0,0,0,69,73,0,612,636
RAB1A,YIF1A,9606.ENSP00000387286,9606.ENSP00000366098,0,0,0,0,61,195,0,639,704
RAB1A,RAB5C,9606.ENSP00000387286,9606.ENSP00000447053,0,0,445,908,282,374,900,605,955
RAB5C,STOM,9606.ENSP00000447053,9606.ENSP00000286713,0,0,0,0,61,54,900,72,906
RAB5C,RAB8A,9606.ENSP00000447053,9606.ENSP00000300935,0,0,445,880,99,873,900,537,988
RAB5C,VPS39,9606.ENSP00000447053,9606.ENSP00000335193,0,0,0,0,97,335,0,472,655
RAB5C,YIF1A,9606.ENSP00000447053,9606.ENSP00000366098,0,0,0,0,62,85,0,584,612
RAB5C,VPS11,9606.ENSP00000447053,9606.ENSP00000481126,0,0,0,0,60,335,0,475,643
RAB8A,RALA,9606.ENSP00000300935,9606.ENSP00000005257,0,0,438,807,61,79,900,449,920
RAB8A,TBK1,9606.ENSP00000300935,9606.ENSP00000329967,0,0,0,0,62,57,0,408,431
RALA,TBK1,9606.ENSP00000005257,9606.ENSP00000329967,0,0,0,0,0,160,0,399,473
RALA,RIPK1,9606.ENSP00000005257,9606.ENSP00000259808,0,0,0,0,0,576,0,0,576
RALA,RHOA,9606.ENSP00000005257,9606.ENSP00000400175,0,0,359,759,93,73,800,518,852
RBM28,TRMT1,9606.ENSP00000223073,9606.ENSP00000466967,0,0,0,0,818,0,0,0,818
RBM28,RRP9,9606.ENSP00000223073,9606.ENSP00000232888,0,0,0,0,897,0,900,0,989
RBX1,ZYG11B,9606.ENSP00000216225,9606.ENSP00000294353,0,0,0,0,0,0,540,553,785
RBX1,RNF41,9606.ENSP00000216225,9606.ENSP00000342755,0,0,0,0,0,0,900,129,909
RBX1,UBOX5,9606.ENSP00000216225,9606.ENSP00000217173,0,0,0,0,0,0,900,168,913
RBX1,TCEB2,9606.ENSP00000216225,9606.ENSP00000262306,0,0,0,0,201,354,900,916,995
REEP5,RTN4,9606.ENSP00000368959,9606.ENSP00000337838,0,0,0,0,85,318,0,684,786
REEP5,YIF1A,9606.ENSP00000368959,9606.ENSP00000366098,0,0,0,0,0,298,0,336,514
REEP5,SRP19,9606.ENSP00000368959,9606.ENSP00000424870,0,0,0,0,62,0,0,641,649
REEP5,SIL1,9606.ENSP00000368959,9606.ENSP00000378294,0,0,0,0,61,0,0,860,862
RHOA,SLC9A3R1,9606.ENSP00000400175,9606.ENSP00000262613,0,0,0,0,0,185,0,399,489
RHOA,RTN4,9606.ENSP00000400175,9606.ENSP00000337838,0,0,0,0,128,103,900,778,980
RIPK1,TBK1,9606.ENSP00000259808,9606.ENSP00000329967,0,0,0,0,53,0,0,562,568
RNF41,UBOX5,9606.ENSP00000342755,9606.ENSP00000217173,0,0,0,0,0,0,900,0,900
RNF41,TCEB2,9606.ENSP00000342755,9606.ENSP00000262306,0,0,0,0,0,0,900,122,908
RNF41,TBK1,9606.ENSP00000342755,9606.ENSP00000329967,0,0,0,0,59,287,0,448,597
RNF41,RTN4,9606.ENSP00000342755,9606.ENSP00000337838,0,0,0,0,0,421,0,190,511
RPL36,SRP72,9606.ENSP00000464342,9606.ENSP00000342181,0,0,0,0,101,0,900,51,907
RPL36,SIL1,9606.ENSP00000464342,9606.ENSP00000378294,0,0,0,0,356,448,0,192,688
RPL36,SRP19,9606.ENSP00000464342,9606.ENSP00000424870,0,0,0,0,89,957,900,0,995
RPL36,UPF1,9606.ENSP00000464342,9606.ENSP00000470142,0,0,0,0,161,0,900,62,914
RRP9,UBAP2,9606.ENSP00000232888,9606.ENSP00000368540,0,0,0,0,0,0,0,459,459
RRP9,TRMT1,9606.ENSP00000232888,9606.ENSP00000466967,0,0,0,0,846,0,0,544,926
RTN4,VPS11,9606.ENSP00000337838,9606.ENSP00000481126,0,0,0,0,0,0,0,411,410
SCARB1,SLC9A3R1,9606.ENSP00000261693,9606.ENSP00000262613,0,0,0,0,63,0,0,499,510
SLC30A6,SLC30A9,9606.ENSP00000368648,9606.ENSP00000264451,110,0,0,0,62,128,0,836,865
SLC3A2,ZDHHC5,9606.ENSP00000367123,9606.ENSP00000287169,0,0,0,0,64,0,0,476,489
SLC3A2,ZC3H18,9606.ENSP00000367123,9606.ENSP00000416951,0,0,0,0,0,400,0,0,400
SLC44A2,STOM,9606.ENSP00000336888,9606.ENSP00000286713,0,0,0,0,61,0,900,101,908
SRP19,SRP72,9606.ENSP00000424870,9606.ENSP00000342181,0,0,0,0,194,944,900,935,999
STC2,WFS1,9606.ENSP00000265087,9606.ENSP00000226760,0,0,0,0,76,0,900,111,910
STOM,STOML2,9606.ENSP00000286713,9606.ENSP00000348886,0,0,426,725,0,159,0,919,440
TBK1,TOMM70A,9606.ENSP00000329967,9606.ENSP00000284320,0,0,0,0,61,342,0,292,524
TCEB2,UBOX5,9606.ENSP00000262306,9606.ENSP00000217173,0,0,0,0,0,0,900,204,916
TCEB2,ZYG11B,9606.ENSP00000262306,9606.ENSP00000294353,0,0,0,0,0,328,540,423,806
TIMM10,TIMM10B,9606.ENSP00000257245,9606.ENSP00000254616,0,0,0,0,778,789,900,771,998
TIMM10,TOMM70A,9606.ENSP00000257245,9606.ENSP00000284320,0,0,0,0,96,130,0,864,884
TIMM10,TIMM8B,9606.ENSP00000257245,9606.ENSP00000438455,0,0,0,0,682,0,720,731,974
TIMM10B,TOMM70A,9606.ENSP00000254616,9606.ENSP00000284320,0,0,0,0,62,0,0,506,517
TIMM10B,TIMM8B,9606.ENSP00000254616,9606.ENSP00000438455,0,0,0,0,513,0,720,677,952
TIMM8B,TOMM70A,9606.ENSP00000438455,9606.ENSP00000284320,0,0,0,0,64,108,0,562,602
UBOX5,UBXN8,9606.ENSP00000217173,9606.ENSP00000479216,0,0,0,0,108,313,0,201,467
VPS11,VPS39,9606.ENSP00000481126,9606.ENSP00000335193,0,0,0,0,451,897,900,920,999
