node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
BCS1L,DNAJC19,9606.ENSP00000413908,9606.ENSP00000372005,0,0,0,0,64,0,900,65,904
BCS1L,TIMM8B,9606.ENSP00000413908,9606.ENSP00000438455,0,0,0,0,83,0,900,163,916
BRD4,HMOX1,9606.ENSP00000263377,9606.ENSP00000216117,0,0,0,0,51,0,0,446,452
BRD4,TCEB2,9606.ENSP00000263377,9606.ENSP00000262306,0,0,0,0,0,867,0,140,881
BRD4,DDX10,9606.ENSP00000263377,9606.ENSP00000314348,0,0,0,0,388,79,0,44,414
BRD4,SIRT5,9606.ENSP00000263377,9606.ENSP00000476228,0,0,0,0,62,261,0,279,456
BRD4,HDAC2,9606.ENSP00000263377,9606.ENSP00000430432,0,0,0,0,109,193,0,381,516
BRD4,LARP7,9606.ENSP00000263377,9606.ENSP00000422626,0,0,0,0,102,288,0,574,703
BRD4,WHSC1,9606.ENSP00000263377,9606.ENSP00000372351,0,0,0,0,94,416,0,623,783
BRD4,ZC3H18,9606.ENSP00000263377,9606.ENSP00000416951,0,0,0,0,135,838,0,0,854
C19orf52,TIMM10B,9606.ENSP00000270502,9606.ENSP00000254616,0,0,0,0,63,0,900,586,957
C19orf52,TIMM10,9606.ENSP00000270502,9606.ENSP00000257245,0,0,0,0,82,613,360,448,857
C19orf52,TOMM70A,9606.ENSP00000270502,9606.ENSP00000284320,0,0,0,0,46,0,0,436,439
CENPF,PRIM1,9606.ENSP00000355922,9606.ENSP00000350491,0,0,0,0,544,0,0,174,608
CENPF,POLA1,9606.ENSP00000355922,9606.ENSP00000368349,0,0,0,0,187,0,0,315,420
CEP112,PRIM2,9606.ENSP00000376522,9606.ENSP00000484105,0,0,0,0,0,0,0,421,420
CEP250,TUBGCP3,9606.ENSP00000380661,9606.ENSP00000261965,0,0,0,0,61,0,900,378,936
CEP250,RAB8A,9606.ENSP00000380661,9606.ENSP00000300935,0,0,0,0,0,0,900,50,900
CEP68,WFS1,9606.ENSP00000367229,9606.ENSP00000226760,0,0,0,0,0,0,0,430,430
CEP68,PRKAR2A,9606.ENSP00000367229,9606.ENSP00000265563,0,0,0,0,0,650,0,0,650
CEP68,RAB1A,9606.ENSP00000367229,9606.ENSP00000387286,0,0,0,0,0,0,0,471,471
CHMP2A,REEP5,9606.ENSP00000469240,9606.ENSP00000368959,0,0,0,0,52,0,0,494,500
CHPF,CHPF2,9606.ENSP00000243776,9606.ENSP00000035307,0,0,0,953,95,0,650,906,683
COL6A1,LOX,9606.ENSP00000355180,9606.ENSP00000231004,0,0,0,0,368,0,0,230,493
COL6A1,PLOD2,9606.ENSP00000355180,9606.ENSP00000282903,0,0,0,0,107,93,900,223,928
COL6A1,FKBP10,9606.ENSP00000355180,9606.ENSP00000317232,0,0,0,0,317,0,0,205,434
COL6A1,FBN1,9606.ENSP00000355180,9606.ENSP00000325527,0,0,0,0,344,63,0,452,634
COL6A1,P4HB,9606.ENSP00000355180,9606.ENSP00000327801,0,0,0,0,65,0,900,108,909
COL6A1,PTRF,9606.ENSP00000355180,9606.ENSP00000349541,0,0,0,0,652,0,0,155,693
COL6A1,ITGB1,9606.ENSP00000355180,9606.ENSP00000379350,0,0,0,0,89,0,900,213,922
CWC27,MPHOSPH10,9606.ENSP00000370460,9606.ENSP00000244230,0,0,0,0,430,0,0,0,430
CWC27,PPIL3,9606.ENSP00000370460,9606.ENSP00000286175,0,0,350,807,144,0,900,678,927
CWC27,SNIP1,9606.ENSP00000370460,9606.ENSP00000296215,0,0,0,0,215,748,0,331,856
CWC27,GTF2F2,9606.ENSP00000370460,9606.ENSP00000340823,0,0,0,0,213,0,900,0,917
CWC27,HNRNPUL1,9606.ENSP00000370460,9606.ENSP00000375863,0,0,0,0,74,0,900,0,903
CYB5B,RAB1A,9606.ENSP00000308430,9606.ENSP00000387286,0,0,0,0,120,367,0,124,469
CYB5B,STOML2,9606.ENSP00000308430,9606.ENSP00000348886,0,0,0,0,112,406,0,256,573
CYB5B,MARC1,9606.ENSP00000308430,9606.ENSP00000355877,0,0,0,0,64,0,900,603,959
CYB5B,CYB5R3,9606.ENSP00000308430,9606.ENSP00000354468,0,0,0,0,87,384,900,548,971
CYB5R3,NPC2,9606.ENSP00000354468,9606.ENSP00000451112,0,0,0,0,0,0,900,68,902
